year;district;indicator;number
2019;Kirseberg;foreign-background_native-born-with-two-foreign-parents_men;985
2019;Kirseberg;foreign-background_others_men;4547
2019;Kirseberg;foreign-background_total_men;8450
2019;Kirseberg;foreign-background_foreign-born_women;2716
2019;Kirseberg;foreign-background_native-born-with-two-foreign-parents_women;817
2019;Kirseberg;foreign-background_others_women;4256
2019;Kirseberg;foreign-background_total_women;7789
2019;Kirseberg;foreign-background_foreign-born_all;5634
2019;Kirseberg;foreign-background_native-born-with-two-foreign-parents_all;1802
2019;Kirseberg;foreign-background_others_all;8803
2019;Kirseberg;foreign-background_total_all;16239
2018;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_women;945
2018;Västra Innerstaden;foreign-background_total_women;18958
2018;Västra Innerstaden;foreign-background_foreign-born_women;3178
2018;Västra Innerstaden;foreign-background_others_women;14835
2018;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_men;895
2018;Västra Innerstaden;foreign-background_total_men;16336
2018;Västra Innerstaden;foreign-background_foreign-born_men;2797
2018;Västra Innerstaden;foreign-background_others_men;12644
2018;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_all;1840
2018;Västra Innerstaden;foreign-background_total_all;35294
2018;Västra Innerstaden;foreign-background_foreign-born_all;5975
2018;Västra Innerstaden;foreign-background_others_all;27479
2018;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_women;2014
2018;Södra Innerstaden;foreign-background_total_women;18158
2018;Södra Innerstaden;foreign-background_foreign-born_women;6350
2018;Södra Innerstaden;foreign-background_others_women;9794
2018;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_men;2014
2018;Södra Innerstaden;foreign-background_total_men;18337
2018;Södra Innerstaden;foreign-background_foreign-born_men;7083
2018;Södra Innerstaden;foreign-background_others_men;9240
2018;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_all;4028
2018;Södra Innerstaden;foreign-background_total_all;36495
2018;Södra Innerstaden;foreign-background_foreign-born_all;13433
2018;Södra Innerstaden;foreign-background_others_all;19034
2018;Rosengård;foreign-background_native-born-with-two-foreign-parents_women;3109
2018;Rosengård;foreign-background_total_women;11731
2018;Rosengård;foreign-background_foreign-born_women;7234
2018;Rosengård;foreign-background_others_women;1388
2018;Rosengård;foreign-background_native-born-with-two-foreign-parents_men;3221
2018;Rosengård;foreign-background_total_men;12027
2018;Rosengård;foreign-background_foreign-born_men;7444
2018;Rosengård;foreign-background_others_men;1362
2018;Rosengård;foreign-background_native-born-with-two-foreign-parents_all;6330
2018;Rosengård;foreign-background_total_all;23758
2018;Rosengård;foreign-background_foreign-born_all;14678
2018;Rosengård;foreign-background_others_all;2750
2018;Oxie;foreign-background_native-born-with-two-foreign-parents_women;852
2018;Oxie;foreign-background_total_women;6737
2018;Oxie;foreign-background_foreign-born_women;1879
2018;Oxie;foreign-background_others_women;4006
2018;Oxie;foreign-background_native-born-with-two-foreign-parents_men;865
2018;Oxie;foreign-background_total_men;6881
2018;Oxie;foreign-background_foreign-born_men;2051
2018;Oxie;foreign-background_others_men;3965
2018;Oxie;foreign-background_native-born-with-two-foreign-parents_all;1717
2018;Oxie;foreign-background_total_all;13618
2018;Oxie;foreign-background_foreign-born_all;3930
2018;Oxie;foreign-background_others_all;7971
2018;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_women;1464
2018;Limhamn-Bunkeflo;foreign-background_total_women;25723
2018;Limhamn-Bunkeflo;foreign-background_foreign-born_women;4834
2018;Limhamn-Bunkeflo;foreign-background_others_women;19425
2018;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_men;1474
2018;Limhamn-Bunkeflo;foreign-background_total_men;24980
2018;Limhamn-Bunkeflo;foreign-background_foreign-born_men;4593
2018;Limhamn-Bunkeflo;foreign-background_others_men;18913
2018;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_all;2938
2018;Limhamn-Bunkeflo;foreign-background_total_all;50703
2018;Limhamn-Bunkeflo;foreign-background_foreign-born_all;9427
2018;Limhamn-Bunkeflo;foreign-background_others_all;38338
2018;Kirseberg;foreign-background_native-born-with-two-foreign-parents_women;838
2018;Kirseberg;foreign-background_total_women;7916
2018;Kirseberg;foreign-background_foreign-born_women;2722
2018;Kirseberg;foreign-background_others_women;4356
2018;Kirseberg;foreign-background_native-born-with-two-foreign-parents_men;995
2018;Kirseberg;foreign-background_total_men;8654
2018;Kirseberg;foreign-background_foreign-born_men;3054
2018;Kirseberg;foreign-background_others_men;4605
2018;Kirseberg;foreign-background_native-born-with-two-foreign-parents_all;1833
2018;Kirseberg;foreign-background_total_all;16570
2018;Kirseberg;foreign-background_foreign-born_all;5776
2018;Kirseberg;foreign-background_others_all;8961
2018;Hyllie;foreign-background_native-born-with-two-foreign-parents_women;2893
2018;Hyllie;foreign-background_total_women;19506
2018;Hyllie;foreign-background_foreign-born_women;7430
2018;Hyllie;foreign-background_others_women;9183
2018;Hyllie;foreign-background_native-born-with-two-foreign-parents_men;2966
2018;Hyllie;foreign-background_total_men;18128
2018;Hyllie;foreign-background_foreign-born_men;7125
2018;Hyllie;foreign-background_others_men;8037
2018;Hyllie;foreign-background_native-born-with-two-foreign-parents_all;5859
2018;Hyllie;foreign-background_total_all;37634
2018;Hyllie;foreign-background_foreign-born_all;14555
2018;Hyllie;foreign-background_others_all;17220
2018;Husie;foreign-background_native-born-with-two-foreign-parents_women;1434
2018;Husie;foreign-background_total_women;11594
2018;Husie;foreign-background_foreign-born_women;2960
2018;Husie;foreign-background_others_women;7200
2018;Husie;foreign-background_native-born-with-two-foreign-parents_men;1532
2018;Husie;foreign-background_total_men;11276
2018;Husie;foreign-background_foreign-born_men;2876
2018;Husie;foreign-background_others_men;6868
2018;Husie;foreign-background_native-born-with-two-foreign-parents_all;2966
2018;Husie;foreign-background_total_all;22870
2018;Husie;foreign-background_foreign-born_all;5836
2018;Husie;foreign-background_others_all;14068
2018;Fosie;foreign-background_native-born-with-two-foreign-parents_women;4412
2018;Fosie;foreign-background_total_women;22868
2018;Fosie;foreign-background_foreign-born_women;11994
2018;Fosie;foreign-background_others_women;6462
2018;Fosie;foreign-background_native-born-with-two-foreign-parents_men;4671
2018;Fosie;foreign-background_total_men;23530
2018;Fosie;foreign-background_foreign-born_men;12867
2018;Fosie;foreign-background_others_men;5992
2018;Fosie;foreign-background_native-born-with-two-foreign-parents_all;9083
2018;Fosie;foreign-background_total_all;46398
2018;Fosie;foreign-background_foreign-born_all;24861
2018;Fosie;foreign-background_others_all;12454
2018;Centrum;foreign-background_native-born-with-two-foreign-parents_women;2263
2018;Centrum;foreign-background_total_women;27876
2018;Centrum;foreign-background_foreign-born_women;8040
2018;Centrum;foreign-background_others_women;17573
2018;Centrum;foreign-background_native-born-with-two-foreign-parents_men;2159
2018;Centrum;foreign-background_total_men;27015
2018;Centrum;foreign-background_foreign-born_men;7633
2018;Centrum;foreign-background_others_men;17223
2018;Centrum;foreign-background_native-born-with-two-foreign-parents_all;4422
2018;Centrum;foreign-background_total_all;54891
2018;Centrum;foreign-background_foreign-born_all;15673
2018;Centrum;foreign-background_others_all;34796
